;This file was generated by make_test_image.py
;Identifier is the unique number written into each sector half
;All numbers in hexadecimal

;PET Track, PET Sector, PET Sector Half (0 or 1), Identifier
14,0D,0,0330
14,0D,1,0331
14,0E,0,0332
14,0E,1,0333
14,0F,0,0334
14,0F,1,0335
14,10,0,0336
14,10,1,0337
14,11,0,0338
14,11,1,0339
14,12,0,033A
14,12,1,033B
15,00,0,033C
15,00,1,033D
15,01,0,033E
15,01,1,033F
15,02,0,0340
15,02,1,0341
15,03,0,0342
15,03,1,0343
15,04,0,0344
15,04,1,0345
15,05,0,0346
15,05,1,0347
15,06,0,0348
15,06,1,0349
15,07,0,034A
15,07,1,034B
15,08,0,034C
15,08,1,034D
15,09,0,034E
15,09,1,034F
15,0A,0,0350
15,0A,1,0351
15,0B,0,0352
15,0B,1,0353
15,0C,0,0354
15,0C,1,0355
15,0D,0,0356
15,0D,1,0357
15,0E,0,0358
15,0E,1,0359
15,0F,0,035A
15,0F,1,035B
15,10,0,035C
15,10,1,035D
15,11,0,035E
15,11,1,035F
15,12,0,0360
15,12,1,0361
16,00,0,0362
16,00,1,0363
16,01,0,0364
16,01,1,0365
16,02,0,0366
16,02,1,0367
16,03,0,0368
16,03,1,0369
16,04,0,036A
16,04,1,036B
16,05,0,036C
16,05,1,036D
16,06,0,036E
16,06,1,036F
16,07,0,0370
16,07,1,0371
16,08,0,0372
16,08,1,0373
16,09,0,0374
16,09,1,0375
16,0A,0,0376
16,0A,1,0377
16,0B,0,0378
16,0B,1,0379
16,0C,0,037A
16,0C,1,037B
16,0D,0,037C
16,0D,1,037D
16,0E,0,037E
16,0E,1,037F
16,0F,0,0380
16,0F,1,0381
16,10,0,0382
16,10,1,0383
16,11,0,0384
16,11,1,0385
16,12,0,0386
16,12,1,0387
17,00,0,0388
17,00,1,0389
17,01,0,038A
17,01,1,038B
17,02,0,038C
17,02,1,038D
17,03,0,038E
17,03,1,038F
17,04,0,0390
17,04,1,0391
17,05,0,0392
17,05,1,0393
17,06,0,0394
17,06,1,0395
17,07,0,0396
17,07,1,0397
17,08,0,0398
17,08,1,0399
17,09,0,039A
17,09,1,039B
17,0A,0,039C
17,0A,1,039D
17,0B,0,039E
17,0B,1,039F
17,0C,0,03A0
17,0C,1,03A1
17,0D,0,03A2
17,0D,1,03A3
17,0E,0,03A4
17,0E,1,03A5
17,0F,0,03A6
17,0F,1,03A7
17,10,0,03A8
17,10,1,03A9
17,11,0,03AA
17,11,1,03AB
17,12,0,03AC
17,12,1,03AD
18,00,0,03AE
18,00,1,03AF
18,01,0,03B0
18,01,1,03B1
18,02,0,03B2
18,02,1,03B3
18,03,0,03B4
18,03,1,03B5
18,04,0,03B6
18,04,1,03B7
18,05,0,03B8
18,05,1,03B9
18,06,0,03BA
18,06,1,03BB
18,07,0,03BC
18,07,1,03BD
18,08,0,03BE
18,08,1,03BF
18,09,0,03C0
18,09,1,03C1
18,0A,0,03C2
18,0A,1,03C3
18,0B,0,03C4
18,0B,1,03C5
18,0C,0,03C6
18,0C,1,03C7
18,0D,0,03C8
18,0D,1,03C9
18,0E,0,03CA
18,0E,1,03CB
18,0F,0,03CC
18,0F,1,03CD
18,10,0,03CE
18,10,1,03CF
18,11,0,03D0
18,11,1,03D1
18,12,0,03D2
18,12,1,03D3
19,00,0,03D4
19,00,1,03D5
19,01,0,03D6
19,01,1,03D7
19,02,0,03D8
19,02,1,03D9
19,03,0,03DA
19,03,1,03DB
19,04,0,03DC
