37,0,21,12
37,1,21,13
37,2,21,14
37,3,21,15
37,4,21,16
37,5,21,17
37,6,21,18
37,7,21,19
37,8,21,20
37,9,21,21
37,10,21,22
37,11,21,23
37,12,21,24
37,13,21,25
37,14,21,26
37,15,21,27
37,16,21,28
37,17,22,0
37,18,22,1
37,19,22,2
37,20,22,3
37,21,22,4
37,22,22,5
37,23,22,6
37,24,22,7
37,25,22,8
37,26,22,9
37,27,22,10
37,28,22,11
37,29,22,12
37,30,22,13
37,31,22,14
38,0,21,28
38,1,22,0
38,2,22,1
38,3,22,2
38,4,22,3
38,5,22,4
38,6,22,5
38,7,22,6
38,8,22,7
38,9,22,8
38,10,22,9
38,11,22,10
38,12,22,11
38,13,22,12
38,14,22,13
38,15,22,14
38,16,22,15
38,17,22,16
38,18,22,17
38,19,22,18
38,20,22,19
38,21,22,20
38,22,22,21
38,23,22,22
38,24,22,23
38,25,22,24
38,26,22,25
38,27,22,26
38,28,22,27
38,29,22,28
38,30,23,0
38,31,23,1
39,0,22,15
39,1,22,16
39,2,22,17
39,3,22,18
39,4,22,19
39,5,22,20
39,6,22,21
39,7,22,22
39,8,22,23
39,9,22,24
39,10,22,25
39,11,22,26
39,12,22,27
39,13,22,28
39,14,23,0
39,15,23,1
39,16,23,2
39,17,23,3
39,18,23,4
39,19,23,5
39,20,23,6
39,21,23,7
39,22,23,8
39,23,23,9
39,24,23,10
39,25,23,11
39,26,23,12
39,27,23,13
39,28,23,14
39,29,23,15
39,30,23,16
39,31,23,17
40,0,23,2
40,1,23,3
40,2,23,4
40,3,23,5
40,4,23,6
40,5,23,7
40,6,23,8
40,7,23,9
40,8,23,10
40,9,23,11
40,10,23,12
40,11,23,13
40,12,23,14
40,13,23,15
40,14,23,16
40,15,23,17
40,16,23,18
40,17,23,19
40,18,23,20
40,19,23,21
40,20,23,22
40,21,23,23
40,22,23,24
40,23,23,25
